plant_id,Temp,Time,Species,initial,post,overnight
1,30,5,Vicia faba,0.806,0.81,0.805
1,30,15,Vicia faba,0.787,0.837,0.855
1,30,30,Vicia faba,0.796,0.819,0.831
1,30,60,Vicia faba,0.767,0.734,0.809
1,40,60,Vicia faba,0.824,0.296,0.338
1,42,15,Vicia faba,0.849,0.517,0.648
1,42,30,Vicia faba,0.839,0.377,0.453
1,44,5,Vicia faba,0.835,0.426,0.486
1,44,15,Vicia faba,0.825,0.298,0.091
1,44,30,Vicia faba,0.832,0.459,0.463
1,44,60,Vicia faba,0.867,0,0.047
1,48,5,Vicia faba,0.822,0.309,0.29
1,48,15,Vicia faba,0.838,0.291,0
1,48,30,Vicia faba,0.809,0,0
1,48,60,Vicia faba,0.802,0,0
1,52,5,Vicia faba,0.816,0.311,0
1,52,15,Vicia faba,0.8,0.11,0
1,52,30,Vicia faba,0.81,0,0
1,52,60,Vicia faba,0.82,0,0
1,54,5,Vicia faba,0.81,0.197,0
1,54,15,Vicia faba,0.814,0,0
1,58,5,Vicia faba,0.807,0,0
6,30,5,Vicia faba,0.825,0.806,0.814
6,30,15,Vicia faba,0.79,0.819,0.852
6,30,30,Vicia faba,0.808,0.823,0.836
6,30,60,Vicia faba,0.793,0.762,0.819
6,40,60,Vicia faba,0.83,0.328,0.331
6,42,15,Vicia faba,0.834,0.516,0.586
6,42,30,Vicia faba,0.83,0.188,0.368
6,44,5,Vicia faba,0.827,0.496,0.543
6,44,15,Vicia faba,0.822,0.266,0.123
6,44,30,Vicia faba,0.817,0.457,0.482
6,44,60,Vicia faba,0.85,0.367,0.074
6,48,5,Vicia faba,0.811,0.463,0.324
6,48,15,Vicia faba,0.823,0.251,0
6,48,30,Vicia faba,0.816,0,0
6,48,60,Vicia faba,0.794,0,0
6,52,5,Vicia faba,0.802,0.198,0
6,52,15,Vicia faba,0.793,0.114,0
6,52,30,Vicia faba,0.821,0,0
6,52,60,Vicia faba,0.822,0,0
6,54,5,Vicia faba,0.801,0.193,0
6,54,15,Vicia faba,0.828,0,0
6,58,5,Vicia faba,0.813,0,0
14,30,5,Vicia faba,0.851,0.854,0.839
14,30,15,Vicia faba,0.82,0.843,0.859
14,30,30,Vicia faba,0.851,0.853,0.862
14,30,60,Vicia faba,0.831,0.771,0.844
14,40,60,Vicia faba,0.828,0.353,0.284
14,42,15,Vicia faba,0.827,0.301,0.415
14,42,30,Vicia faba,0.805,0.168,0.326
14,44,5,Vicia faba,0.835,0.446,0.457
14,44,15,Vicia faba,0.835,0.247,0.154
14,44,30,Vicia faba,0.828,0.134,0.312
14,44,60,Vicia faba,0.861,0.637,0
14,48,5,Vicia faba,0.802,0.38,0.311
14,48,15,Vicia faba,0.833,0.238,0.246
14,48,30,Vicia faba,0.801,0,0
14,48,60,Vicia faba,0.782,0,0
14,52,5,Vicia faba,0.796,0.472,0.307
14,52,15,Vicia faba,0.778,0,0
14,52,30,Vicia faba,0.814,0,0
14,52,60,Vicia faba,0.808,0,0
14,54,5,Vicia faba,0.805,0.145,0
14,54,15,Vicia faba,0.817,0,0
14,58,5,Vicia faba,0.779,0,0
18,30,5,Vicia faba,0.814,0.816,0.814
18,30,15,Vicia faba,0.78,0.808,0.831
18,30,30,Vicia faba,0.815,0.826,0.829
18,30,60,Vicia faba,0.788,0.73,0.821
18,40,60,Vicia faba,0.821,0.288,0.271
18,42,15,Vicia faba,0.836,0.316,0.437
18,42,30,Vicia faba,0.802,0.141,0.277
18,44,5,Vicia faba,0.853,0.515,0.635
18,44,15,Vicia faba,0.795,0.152,0.116
18,44,30,Vicia faba,0.805,0.037,0.218
18,44,60,Vicia faba,0.861,0,0.074
18,48,5,Vicia faba,0.812,0.327,0.288
18,48,15,Vicia faba,0.838,0.255,0
18,48,30,Vicia faba,0.807,0,0
18,48,60,Vicia faba,0.771,0,0
18,52,5,Vicia faba,0.799,0.327,0
18,52,15,Vicia faba,0.79,0,0
18,52,30,Vicia faba,0.809,0,0
18,52,60,Vicia faba,0.805,0,0
18,54,5,Vicia faba,0.799,0.133,0
18,54,15,Vicia faba,0.827,0,0
18,58,5,Vicia faba,0.763,0,0
20,30,5,Vicia faba,0.802,0.828,0.799
20,30,15,Vicia faba,0.776,0.813,0.829
20,30,30,Vicia faba,0.841,0.843,0.84
20,30,60,Vicia faba,0.802,0.777,0.817
20,40,60,Vicia faba,0.808,0.329,0.287
20,42,15,Vicia faba,0.852,0.395,0.445
20,42,30,Vicia faba,0.821,0.292,0.359
20,44,5,Vicia faba,0.835,0.56,0.685
20,44,15,Vicia faba,0.832,0.284,0.184
20,44,30,Vicia faba,0.814,0.104,0.318
20,44,60,Vicia faba,0.849,NA,0.074
20,48,5,Vicia faba,0.811,0.351,0.36
20,48,15,Vicia faba,0.824,0.265,0.316
20,48,30,Vicia faba,0.804,0,0
20,48,60,Vicia faba,0.785,0,0
20,52,5,Vicia faba,0.81,0.439,0.311
20,52,15,Vicia faba,0.786,0,0
20,52,30,Vicia faba,0.809,0,0
20,52,60,Vicia faba,0.811,0,0
20,54,5,Vicia faba,0.802,0.186,0
20,54,15,Vicia faba,0.806,0,0
20,58,5,Vicia faba,0.789,0,0