unique_sample,response_type,threshold,Time,temperature,temperature_sd
1,fvfm_io,T90,5,49.436076285116336,1.9683284616605317
1,fvfm_io,T90,15,46.77518980867021,1.274387556292928
1,fvfm_io,T90,30,45.73417423857191,1.4571918667197672
1,fvfm_io,T90,60,44.741970408255035,1.823306565599581
2,fvfm_io,T90,5,50.17697312768117,2.1200915922586967
2,fvfm_io,T90,15,47.16493823297394,1.209627929131808
2,fvfm_io,T90,30,45.909102115949196,1.4676966499860824
2,fvfm_io,T90,60,44.77762506953109,1.5093959440551068
3,fvfm_io,T90,5,54.74050081198141,3.3171805016679152
3,fvfm_io,T90,15,47.92473684012335,1.5104024786208772
3,fvfm_io,T90,30,45.84124315970411,1.3189759112988602
3,fvfm_io,T90,60,44.081003880302774,1.0897213126613168
4,fvfm_io,T90,5,49.58281833045834,2.2116013600389355
4,fvfm_io,T90,15,46.59222485529062,0.9999600588156377
4,fvfm_io,T90,30,44.77032667725,1.1063441426229397
4,fvfm_io,T90,60,43.535357074761905,0.8926512836737259
5,fvfm_io,T90,5,54.785987482605385,2.9499441270722104
5,fvfm_io,T90,15,48.932139435680455,1.3530098818456529
5,fvfm_io,T90,30,46.499068840112436,1.13392478477573
5,fvfm_io,T90,60,44.23532189084065,0.9605365693208351
1,fvfm_io,T50,5,44.80201121677907,2.0700965015250494
1,fvfm_io,T50,15,43.21221613364222,1.067836007858902
1,fvfm_io,T50,30,41.777334805002255,1.5662538343423638
1,fvfm_io,T50,60,40.453302256895746,1.5708884591804204
2,fvfm_io,T50,5,45.168188873899496,1.9397810412207819
2,fvfm_io,T50,15,43.09541136147438,1.0099115596990806
2,fvfm_io,T50,30,41.3242607702879,1.646228035643359
2,fvfm_io,T50,60,40.408719489442554,1.4868729751213525
3,fvfm_io,T50,5,46.451382793598114,1.4983098638004875
3,fvfm_io,T50,15,42.25877977978199,1.134681192116786
3,fvfm_io,T50,30,39.61628119963988,1.4183925504845187
3,fvfm_io,T50,60,39.10765498896562,1.7864598551088293
4,fvfm_io,T50,5,44.941500649789326,2.3589532160467495
4,fvfm_io,T50,15,42.71219282677901,0.7399053069244956
4,fvfm_io,T50,30,39.671186696462584,1.6204262138082146
4,fvfm_io,T50,60,38.79016082113301,1.698068362154858
5,fvfm_io,T50,5,47.87997706071142,1.6809193498395107
5,fvfm_io,T50,15,43.36807370271765,0.8403769799003636
5,fvfm_io,T50,30,40.367563500454054,1.2682222305293478
5,fvfm_io,T50,60,38.92840844203443,1.408186144958627
1,fvfm_io,T10,5,35.204003304563535,3.6378301232739303
1,fvfm_io,T10,15,35.72642333186112,3.0108357104723904
1,fvfm_io,T10,30,33.609258990228696,2.887497284001526
1,fvfm_io,T10,60,34.29820411371752,3.6675081890529566
2,fvfm_io,T10,5,35.04793871066282,2.854896535391315
2,fvfm_io,T10,15,34.605523654175244,2.682981652902384
2,fvfm_io,T10,30,33.20377130768417,2.6681008469600336
2,fvfm_io,T10,60,33.96212569822682,3.452599046867429
3,fvfm_io,T10,5,34.1998939419441,2.903765856760977
3,fvfm_io,T10,15,32.81465716370123,1.860446795655144
3,fvfm_io,T10,30,32.07922723717878,1.7724453842768173
3,fvfm_io,T10,60,32.4389517152631,2.345490308740182
4,fvfm_io,T10,5,35.18192273347289,2.797407834737873
4,fvfm_io,T10,15,34.28292194004399,3.1959072612450727
4,fvfm_io,T10,30,32.90180598643209,3.1505181742625132
4,fvfm_io,T10,60,32.51943455129018,2.459454143237413
5,fvfm_io,T10,5,36.99441707424334,2.936989241708333
5,fvfm_io,T10,15,33.560000727735634,1.7031466110248628
5,fvfm_io,T10,30,32.06479265297746,1.023732651164207
5,fvfm_io,T10,60,31.940989635416823,1.6564080096917766
1,fvfm_if,T90,5,56.87455583211807,2.7088815461565123
1,fvfm_if,T90,15,50.28097956648051,1.2960013105641706
1,fvfm_if,T90,30,47.49851653432257,1.3936873000019032
1,fvfm_if,T90,60,45.238233477860284,1.492207785046793
2,fvfm_if,T90,5,57.12252988276448,2.2270145459681516
2,fvfm_if,T90,15,50.89297871398432,1.1721069635452963
2,fvfm_if,T90,30,48.32337689014153,1.4036825477695243
2,fvfm_if,T90,60,46.38921604253887,1.5558948984567444
3,fvfm_if,T90,5,57.416510454746614,5.628018172212925
3,fvfm_if,T90,15,49.93847257871514,1.9012923108475432
3,fvfm_if,T90,30,47.41275085011952,2.086916638995642
3,fvfm_if,T90,60,45.778192520871414,2.411929717947293
4,fvfm_if,T90,5,56.59201802691322,3.0903974289309297
4,fvfm_if,T90,15,47.409182989556086,1.2257558114184326
4,fvfm_if,T90,30,44.0900573200592,1.1423310329347254
4,fvfm_if,T90,60,42.21229000181436,1.4321039895898058
5,fvfm_if,T90,5,58.733022778992776,3.79248944999413
5,fvfm_if,T90,15,48.75045981264756,1.247878734791651
5,fvfm_if,T90,30,45.764695398390344,1.0571107254196603
5,fvfm_if,T90,60,43.48319430053886,1.1238411518812392
1,fvfm_if,T50,5,47.817058667048244,1.5900321316806136
1,fvfm_if,T50,15,43.21830199098959,1.1094266992566848
1,fvfm_if,T50,30,40.464725675564644,1.3629807380007504
1,fvfm_if,T50,60,38.930594497026526,1.6302185388805386
2,fvfm_if,T50,5,47.42655386890808,1.964107138265104
2,fvfm_if,T50,15,43.3762373827044,0.8268952624015955
2,fvfm_if,T50,30,41.19544524693031,1.4741028794560294
2,fvfm_if,T50,60,39.98580616092389,1.743484963374803
3,fvfm_if,T50,5,46.29032522532232,3.526513568572601
3,fvfm_if,T50,15,42.05465540895277,1.4710377807638646
3,fvfm_if,T50,30,40.244461323346606,2.027217774559849
3,fvfm_if,T50,60,39.71076110349937,2.369125159940715
4,fvfm_if,T50,5,47.48712239982501,1.6029521347931306
4,fvfm_if,T50,15,40.49138001134071,1.2015691886800002
4,fvfm_if,T50,30,37.49709802366035,0.899643899020122
4,fvfm_if,T50,60,36.406289266027365,1.3535417003965615
5,fvfm_if,T50,5,48.87702114847617,1.5726781098947433
5,fvfm_if,T50,15,42.46993502352478,0.8696811584430418
5,fvfm_if,T50,30,38.93848302048023,0.8547789848461039
5,fvfm_if,T50,60,37.97558805167157,1.1351073506069913
1,fvfm_if,T10,5,35.52029509645266,3.827784149308001
1,fvfm_if,T10,15,32.96120017745923,1.662446012518335
1,fvfm_if,T10,30,31.86354255050869,0.8986369985119558
1,fvfm_if,T10,60,31.646573081885116,1.6098509458040504
2,fvfm_if,T10,5,34.17510540587449,2.5594330419391667
2,fvfm_if,T10,15,32.716001034926144,0.901918060562421
2,fvfm_if,T10,30,32.01028816236881,0.8099441323538934
2,fvfm_if,T10,60,32.15924662881014,2.10555761254387
3,fvfm_if,T10,5,32.94377924650596,5.4991633107986155
3,fvfm_if,T10,15,32.058867430532075,1.686171765020125
3,fvfm_if,T10,30,31.90705892548557,1.4695129135803409
3,fvfm_if,T10,60,32.37621116040239,2.387286214571725
4,fvfm_if,T10,5,34.707377839853415,3.104206032463404
4,fvfm_if,T10,15,32.00193283591194,1.572638017704546
4,fvfm_if,T10,30,31.282930555975707,1.47538279717237
4,fvfm_if,T10,60,30.92154610370718,1.726904297450589
5,fvfm_if,T10,5,35.69356082145486,3.2281011128962627
5,fvfm_if,T10,15,32.65024558970586,1.4642667664021756
5,fvfm_if,T10,30,31.684879290467087,1.0019944025480496
5,fvfm_if,T10,60,31.481106689896087,1.0342202034068897
1,fvfm_absolute,T0.3,5,45.19025605517225,2.0262854637498413
1,fvfm_absolute,T0.3,15,42.85176219829458,1.3969564809793733
1,fvfm_absolute,T0.3,30,41.64663035618107,1.3141121133390452
1,fvfm_absolute,T0.3,60,40.40360902851777,2.0447131980500997
2,fvfm_absolute,T0.3,5,45.65561703870848,2.312254911388288
2,fvfm_absolute,T0.3,15,42.93434624408806,1.387203101114529
2,fvfm_absolute,T0.3,30,41.52729418940024,1.169868056822783
2,fvfm_absolute,T0.3,60,40.16190956759892,2.1909608302242964
3,fvfm_absolute,T0.3,5,47.86491730062308,1.8985195217980362
3,fvfm_absolute,T0.3,15,42.807776844528625,0.9640454102983018
3,fvfm_absolute,T0.3,30,40.82188324033797,0.901873638483742
3,fvfm_absolute,T0.3,60,39.25805954828288,1.0613144780409305
4,fvfm_absolute,T0.3,5,45.452306702753766,2.854488029737656
4,fvfm_absolute,T0.3,15,41.878737832660356,1.2121306352110641
4,fvfm_absolute,T0.3,30,40.22496629014265,0.7339348068477693
4,fvfm_absolute,T0.3,60,38.56519627580231,2.0692145417860788
5,fvfm_absolute,T0.3,5,49.347659048891316,2.803405898491503
5,fvfm_absolute,T0.3,15,43.65978261876426,1.0564696588418465
5,fvfm_absolute,T0.3,30,41.25964656262251,0.8135064958876734
5,fvfm_absolute,T0.3,60,39.298191195584316,1.2934396865038382
